intake_year,school_name,la_code,estab_code,dfe_no,pan,total_preferences,total_offered,last_distance_offered
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,30,,30,
2021,Badshot Lea Village Infant School,936,2415,936/2415,45,,,
2021,Beacon Hill Primary School,936,2136,936/2136,30,,,
2021,Bramley Church of England (Aided) Infant School,936,3925,936/3925,30,,,
2021,Busbridge Infant School,936,2917,936/2917,60,,,
2021,Cranleigh Church of England Primary School,936,3944,936/3944,30,,,
2021,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,30,,,
2021,Farncombe Church of England Infant School,936,3026,936/3026,50,,,
2021,Folly Hill Infant School,936,2408,936/2408,30,,,
2021,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,30,,,
2021,Hale School,936,2957,936/2957,60,,,
2021,Highfield South Farnham Primary School,936,2033,936/2033,30,,,
2021,Loseley Fields Primary School,936,3939,936/3939,60,,,
2021,Milford School,936,2315,936/2315,60,,,
2021,Moss Lane School,936,2409,936/2409,60,,,
2021,Park Mead Primary School,936,5211,936/5211,60,,,
2021,Potters Gate Church of England Primary School,936,3062,936/3062,60,,,
2021,Shottermill Infant School,936,2138,936/2138,60,,,
2021,South Farnham School,936,2479,936/2479,90,,,
2021,St Andrew's Church of England Infant School,936,3024,936/3024,30,,,
2021,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,60,,,
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,30,,,
2021,St Edmund's Catholic Primary School,936,3462,936/3462,30,,,
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,30,,,
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,30,,,
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,30,,,
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,30,,,
2021,St Mary's Church of England Primary School,936,2020,936/2020,30,,,
2021,St Peter's Church of England Primary School,936,3345,936/3345,60,,,
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,60,,,
2021,William Cobbett Primary School,936,2478,936/2478,30,,,
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,30,,,
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,30,,,
